screen_time_hours,bedtime_hour,age,app_type_most_used,stress_level
8.21,23.0,18.0,Entertainment,Low
6.23,20.0,25.0,Educational,Low
,20.0,24.0,Social,Low
5.27,22.0,21.0,Utility,Moderate
5.89,24.0,29.0,Utility,Low
6.62,21.0,29.0,Social,Low
2.58,22.0,26.0,Social,Moderate
3.3,23.0,28.0,Utility,High
7.49,23.0,21.0,Educational,Low
6.34,20.0,18.0,Utility,Moderate
,23.0,27.0,Social,Moderate
6.04,,18.0,Entertainment,Moderate
6.7,23.0,18.0,Gaming,High
4.92,22.0,,Entertainment,Low
4.44,21.0,21.0,Entertainment,
,20.0,18.0,Social,High
4.04,23.0,19.0,Utility,Moderate
6.82,22.0,,Educational,Moderate
2.59,24.0,24.0,Entertainment,Moderate
8.06,20.0,19.0,Utility,Moderate
6.95,21.0,25.0,Educational,High
6.51,22.0,30.0,Entertainment,High
7.97,21.0,24.0,Educational,Moderate
9.33,21.0,26.0,Utility,Low
8.03,23.0,23.0,Gaming,High
2.32,23.0,21.0,Utility,Low
,22.0,23.0,Social,Low
4.75,24.0,21.0,Educational,High
,22.0,24.0,Gaming,Low
7.04,24.0,26.0,Educational,Low
4.55,21.0,20.0,Educational,Low
6.37,20.0,20.0,Entertainment,High
4.49,22.0,19.0,Social,Moderate
4.78,22.0,18.0,Educational,Moderate
3.19,24.0,18.0,Utility,Low
4.15,21.0,30.0,Utility,Moderate
3.3,21.0,20.0,Entertainment,Moderate
18.05,24.0,24.0,Social,
8.11,21.0,28.0,Social,Moderate
4.1,23.0,26.0,Utility,Low
,20.0,19.0,Gaming,High
6.99,,24.0,Entertainment,Moderate
6.37,20.0,18.0,,High
,22.0,19.0,Utility,
7.4,23.0,23.0,Utility,Moderate
4.85,21.0,28.0,Gaming,Moderate
6.24,24.0,22.0,Gaming,Moderate
11.12,23.0,25.0,Social,High
5.81,20.0,29.0,Entertainment,Moderate
8.3,24.0,28.0,Entertainment,Low
4.59,21.0,19.0,Utility,Moderate
5.93,23.0,18.0,Social,Moderate
9.54,24.0,24.0,Entertainment,Moderate
4.75,23.0,23.0,Social,Low
9.62,23.0,25.0,Social,Moderate
7.42,21.0,28.0,Utility,Moderate
4.88,22.0,30.0,Social,Moderate
7.26,24.0,25.0,Gaming,Moderate
7.95,21.0,19.0,Gaming,Moderate
7.24,23.0,25.0,Educational,Low
,21.0,23.0,Utility,Moderate
4.55,22.0,26.0,Educational,Low
5.5,24.0,29.0,Gaming,Low
5.85,22.0,24.0,Educational,Moderate
7.24,20.0,19.0,Utility,High
6.36,24.0,25.0,Utility,Moderate
3.33,22.0,26.0,Social,Moderate
6.76,23.0,24.0,Entertainment,High
7.22,24.0,21.0,Social,High
7.12,24.0,26.0,Utility,Low
8.16,21.0,21.0,Gaming,High
7.67,23.0,29.0,Gaming,Moderate
6.92,20.0,21.0,Social,Moderate
5.86,22.0,26.0,Utility,Low
2.68,21.0,25.0,Gaming,Moderate
6.86,22.0,21.0,Utility,Low
6.42,20.0,25.0,Gaming,Low
6.54,20.0,25.0,Utility,Moderate
3.45,24.0,24.0,Educational,High
3.84,20.0,27.0,Utility,High
8.11,22.0,30.0,Utility,Moderate
5.92,23.0,23.0,Social,High
7.36,23.0,25.0,Educational,High
6.06,24.0,,Entertainment,Moderate
6.06,22.0,22.0,Social,Low
7.88,22.0,29.0,Entertainment,Moderate
4.97,20.0,30.0,Gaming,
6.19,22.0,30.0,Entertainment,Moderate
5.08,21.0,21.0,Utility,Moderate
5.13,20.0,29.0,Entertainment,Moderate
5.38,21.0,19.0,,Moderate
6.44,24.0,28.0,Social,Moderate
5.04,,25.0,Entertainment,Low
,24.0,26.0,Social,Moderate
4.21,23.0,21.0,Social,High
5.63,24.0,21.0,Entertainment,
5.12,22.0,22.0,Educational,Low
8.89,21.0,19.0,Educational,High
6.39,23.0,24.0,Gaming,Moderate
8.06,20.0,22.0,Social,
3.03,21.0,23.0,Entertainment,Moderate
,20.0,21.0,Social,High
7.78,21.0,25.0,Utility,High
6.16,21.0,25.0,Social,Moderate
8.13,24.0,29.0,Social,High
4.97,23.0,22.0,,
8.82,23.0,29.0,Entertainment,Moderate
10.6,21.0,23.0,Social,Moderate
5.27,22.0,20.0,Educational,Moderate
5.11,22.0,18.0,Gaming,Low
8.91,20.0,26.0,Educational,High
9.16,20.0,26.0,Educational,Low
4.95,24.0,20.0,Educational,
5.16,,21.0,Social,Moderate
5.44,20.0,30.0,Social,Moderate
3.31,20.0,24.0,Gaming,High
4.16,21.0,19.0,Utility,Moderate
3.99,,29.0,Utility,Low
4.46,20.0,20.0,Utility,High
5.93,24.0,23.0,Gaming,Moderate
6.47,23.0,28.0,Utility,
9.1,24.0,25.0,Utility,Moderate
4.0,22.0,18.0,Educational,Moderate
7.97,22.0,21.0,Social,Moderate
5.57,24.0,18.0,Social,Moderate
5.9,22.0,,Educational,High
7.35,23.0,25.0,Educational,High
3.75,21.0,23.0,Educational,Moderate
6.76,22.0,26.0,Social,
6.33,22.0,19.0,Utility,High
6.98,24.0,,Educational,Moderate
20.58,23.0,26.0,Gaming,Moderate
10.91,21.0,26.0,Educational,Moderate
4.72,24.0,30.0,Entertainment,High
4.94,24.0,23.0,Educational,Moderate
4.75,23.0,20.0,Social,Low
4.89,21.0,22.0,Educational,Moderate
4.73,23.0,19.0,Entertainment,
8.38,21.0,24.0,Gaming,Low
8.84,23.0,27.0,Utility,High
4.86,24.0,28.0,Educational,Moderate
4.34,24.0,25.0,Entertainment,Moderate
6.94,20.0,23.0,Entertainment,Low
4.9,22.0,25.0,Gaming,Low
7.27,23.0,19.0,,High
6.41,20.0,20.0,Educational,Low
2.97,22.0,24.0,Entertainment,Moderate
9.1,23.0,27.0,Gaming,Moderate
9.59,21.0,29.0,Utility,
4.77,22.0,18.0,Entertainment,Low
5.22,24.0,24.0,Gaming,Moderate
6.57,20.0,23.0,Social,High
6.67,22.0,25.0,Social,
7.32,22.0,24.0,Entertainment,Moderate
10.02,24.0,21.0,Entertainment,Moderate
5.65,23.0,20.0,Educational,Moderate
4.4,21.0,20.0,Gaming,Moderate
3.24,24.0,21.0,Entertainment,High
4.54,21.0,26.0,Educational,Moderate
5.93,,26.0,,Moderate
9.59,22.0,30.0,Entertainment,Low
4.96,21.0,19.0,Social,High
6.45,20.0,22.0,Gaming,Low
5.97,20.0,18.0,Gaming,Low
8.38,24.0,21.0,,Moderate
11.05,23.0,19.0,Entertainment,Moderate
4.94,24.0,25.0,Gaming,Moderate
5.02,24.0,21.0,Entertainment,Moderate
8.09,24.0,22.0,Entertainment,Moderate
7.36,,,Educational,Low
9.69,20.0,21.0,Social,High
7.17,24.0,22.0,Entertainment,Moderate
5.28,20.0,22.0,Utility,Moderate
7.18,23.0,22.0,Social,
8.22,24.0,28.0,Gaming,Low
7.64,20.0,20.0,Educational,Moderate
7.01,21.0,24.0,Gaming,Moderate
8.13,24.0,20.0,Gaming,Moderate
8.34,24.0,19.0,Social,Moderate
8.76,23.0,20.0,Gaming,High
7.3,22.0,28.0,,Moderate
5.67,22.0,20.0,Gaming,High
,23.0,25.0,Educational,Moderate
8.41,23.0,21.0,Educational,Low
4.37,23.0,20.0,Utility,Low
6.74,22.0,27.0,Educational,Moderate
5.21,23.0,22.0,Gaming,Low
6.06,,21.0,Educational,Low
8.56,24.0,26.0,Social,High
6.38,24.0,25.0,Educational,High
6.09,21.0,28.0,Entertainment,Moderate
3.28,21.0,24.0,Social,Low
7.49,24.0,25.0,Utility,Low
7.29,20.0,30.0,Entertainment,Low
10.33,22.0,22.0,Gaming,Moderate
5.38,22.0,21.0,,High
6.44,20.0,,Gaming,Moderate
6.5,22.0,18.0,Entertainment,Low
9.15,23.0,23.0,Entertainment,Moderate
5.81,24.0,25.0,Entertainment,Moderate
6.56,24.0,24.0,Social,Moderate
7.22,20.0,19.0,Social,Moderate
6.37,22.0,30.0,Gaming,Moderate
5.11,21.0,24.0,Educational,Low
6.39,21.0,30.0,Gaming,Low
8.15,22.0,23.0,Utility,High
3.95,21.0,30.0,Social,Low
6.27,20.0,22.0,Entertainment,Low
4.6,20.0,21.0,,Low
8.39,22.0,18.0,Entertainment,Low
2.95,21.0,30.0,,Moderate
4.88,20.0,19.0,Utility,High
6.75,20.0,,Social,Moderate
9.13,23.0,27.0,Entertainment,Moderate
5.87,23.0,20.0,Utility,Moderate
4.89,20.0,22.0,Gaming,Moderate
9.76,22.0,25.0,Gaming,High
3.1,24.0,30.0,Entertainment,High
1.6,24.0,30.0,Social,Low
6.88,20.0,25.0,Utility,Moderate
5.0,20.0,23.0,Social,Moderate
3.96,20.0,22.0,Gaming,High
,22.0,30.0,Utility,Moderate
6.49,23.0,19.0,Social,High
4.87,20.0,26.0,Educational,Moderate
3.44,20.0,18.0,Entertainment,Low
7.74,21.0,28.0,Entertainment,Moderate
7.3,22.0,19.0,Educational,High
5.8,20.0,30.0,Gaming,High
9.69,21.0,18.0,Utility,Low
3.86,,29.0,Entertainment,Moderate
2.95,20.0,21.0,Educational,Moderate
4.62,,21.0,Educational,Low
5.91,21.0,22.0,Gaming,
6.49,22.0,22.0,Gaming,Low
5.52,20.0,25.0,Social,High
6.7,24.0,28.0,Entertainment,Moderate
3.5,20.0,28.0,Social,High
8.89,24.0,20.0,,Low
5.84,23.0,23.0,Utility,Moderate
8.23,,29.0,Utility,Low
6.69,,30.0,,
6.91,22.0,29.0,Utility,Low
7.14,20.0,20.0,Utility,Low
6.9,20.0,30.0,Utility,Moderate
7.29,23.0,19.0,Educational,Low
8.66,24.0,25.0,Utility,Moderate
6.39,20.0,18.0,Utility,Moderate
7.42,20.0,26.0,Utility,High
5.82,22.0,28.0,Social,High
8.88,21.0,24.0,Educational,Moderate
4.65,23.0,29.0,Gaming,Moderate
9.6,23.0,27.0,Social,Low
5.92,,30.0,Entertainment,High
3.14,20.0,29.0,Educational,Low
6.26,22.0,28.0,Educational,Low
4.64,22.0,21.0,Entertainment,Low
7.68,23.0,20.0,Entertainment,Moderate
4.69,,23.0,,Low
5.11,21.0,26.0,Gaming,Moderate
2.22,20.0,,Utility,Low
5.1,21.0,21.0,Educational,Moderate
,24.0,,Utility,Low
2.83,23.0,22.0,Utility,Low
7.52,22.0,28.0,Entertainment,High
7.57,24.0,30.0,Gaming,Low
,22.0,26.0,Social,High
4.07,20.0,19.0,Gaming,Moderate
5.9,20.0,19.0,Utility,Low
5.99,20.0,22.0,Gaming,High
3.68,22.0,18.0,Entertainment,Low
9.01,24.0,25.0,Social,High
7.75,20.0,22.0,Entertainment,Low
5.56,24.0,29.0,Social,High
6.05,22.0,27.0,Utility,Low
6.42,24.0,,Social,Moderate
1.92,22.0,29.0,Social,Moderate
5.51,22.0,26.0,Social,High
4.64,23.0,19.0,Gaming,High
,22.0,24.0,Gaming,High
5.44,22.0,25.0,Utility,High
9.6,21.0,23.0,Social,Low
7.28,20.0,28.0,Educational,Low
4.86,23.0,24.0,Utility,Low
7.15,23.0,28.0,Social,Moderate
